,Numero_de_Productos_Ordenados,ID,Lista_de_Volumenes_de_Productos,Volumen_Total
14198,1,[37491],[0.21735],0.21735
14199,1,[40309],[1.68e-05],1.68e-05
14200,1,[34050],[0.0009568],0.0009568
14201,1,[17515],[0.0001],0.0001
14202,1,[35318],[0.081744],0.081744
14203,1,[34038],[0.04],0.04
14204,1,[37765],[0.071824],0.071824
14205,1,[41086],[0.0009568],0.0009568
14206,1,[41647],[0.0010862],0.0010862
14207,1,[34089],[0.00863],0.00863
14208,2,"[45697, 19956]","[0.05625, 3e-05]",0.056280000000000004
14209,1,[35251],[0.0009568],0.0009568
14210,1,[34581],[0.000715],0.000715
14211,1,[14627],[0.163],0.163
14212,1,[34380],[0.0007308],0.0007308
14213,1,[14070],[0.000852],0.000852
14214,1,[24473],[0.00054],0.00054
14215,1,[46817],[0.04576],0.04576
14216,1,[37351],[0.103],0.103
14217,1,[17515],[0.0001],0.0001
14218,1,[31258],[0.0009568],0.0009568
14219,1,[37758],[1.46259],1.46259
14220,1,[47259],[0.003772],0.003772
14221,1,[34695],[0.00093183],0.00093183
14222,1,[28247],[0.0001],0.0001
14223,1,[24035],[0.00056],0.00056
14224,1,[44261],[0.006904],0.006904
14225,1,[38993],[0.001125],0.001125
14226,1,[17369],[0.001125],0.001125
14227,1,[17483],[0.223125],0.223125
14228,1,[20672],[0.014321],0.014321
14229,1,[12950],[0.031952],0.031952
14230,1,[34742],[0.006729],0.006729
14231,1,[17787],[0.020121],0.020121
14232,1,[39504],[0.003365],0.003365
14233,1,[17662],[0.000603],0.000603
14234,1,[34644],[0.02016],0.02016
14235,1,[41647],[0.0010862],0.0010862
14236,1,[34083],[0.0009568],0.0009568
14237,1,[28080],[0.031977],0.031977
14238,1,[34068],[5.08e-06],5.08e-06
14239,1,[17912],[0.000322],0.000322
14240,1,[17101],[0.001],0.001
14241,1,[43470],[0.323015],0.323015
14242,1,[34646],[0.07754],0.07754
14243,1,[35394],[0.001],0.001
